name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Liz Carmouche,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984"
Roan Carneiro,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978",True,https://en.wikipedia.org/wiki/Roan_Carneiro,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Roan Carneiro,Roan Carneiro PereiraMixed martial arts show results Date: 29 December 2007,,"Rio de Janeiro, Brazil",,5 ft 11 in,,MiddleweightWelterweight,,,,American Top Team,,4th degree Black belt in Brazilian Jiu-Jitsu under Ricardo Liborio,2000–2019,"Atlanta, Georgia, United States",3,10,9,4,3,6,,,2886,Roan Carneiro,"5'11""",180.3,,,,Jucão,,,,,,,"5' 11""",170 lbs.,"76""",Orthodox,"Jun 02, 1978"
Ariane Carnelossi,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",True,https://en.wikipedia.org/wiki/Ariane_Carnelossi,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Ariane Carnelossi,,,"Presidente Prudente, São Paulo, Brazil",,,,Strawweight,61.0,,,Inside Muay Thai,,,2007–present,"Presidente Prudente, Sao Paulo, Brazil",9,2,3,1,2,1,,,182853,Ariane Carnelossi,,,,,154.9,Sorriso,61 in,1,,,,,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992"
Luana Carolina,"5' 6""",135 lbs.,"69""",Orthodox,"Jun 11, 1993",True,https://en.wikipedia.org/wiki/Luana_Carolina,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Luana Carolina,Luana Carolina Carvalho de Souza,,"São Paulo, Brazil",,,,Flyweight,69.0,,,Capital da Luta,,Blue belt in Muay Thai Blue belt in Brazilian Jiu-Jitsu,2015–present,"São Paulo, Brazil",3,1,7,1,1,3,,,189719,Luana Carolina,,,,,175.3,Dread,69 in,,,,,,"5' 6""",135 lbs.,"69""",Orthodox,"Jun 11, 1993"
Tim Caron,"6' 1""",185 lbs.,--,Orthodox,"Jul 24, 1987",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",185 lbs.,--,Orthodox,"Jul 24, 1987"
Clayton Carpenter,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 09, 1996",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",125 lbs.,"66""",Orthodox,"Jun 09, 1996"
Gabriel Carrasco,"5' 6""",135 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",135 lbs.,--,,--
Cody Carrillo,"5' 10""",155 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,--,,--
Cain Carrizosa,"5' 8""",155 lbs.,--,Orthodox,"Jul 22, 1986",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",155 lbs.,--,Orthodox,"Jul 22, 1986"
Roger Carroll,"5' 10""",170 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",170 lbs.,--,,--
