name,csv_height,csv_weight,csv_reach,csv_stance,csv_dob,wiki_matched,wiki_url,match_reason,wiki_name,wiki_birth_name,wiki_birth_date,wiki_birth_place,wiki_nationality,wiki_height,wiki_weight,wiki_weight_class,wiki_reach_in,wiki_stance,wiki_style,wiki_team,wiki_trainer,wiki_rank,wiki_years_active,wiki_fighting_out_of,wiki_mma_kowin,wiki_mma_subwin,wiki_mma_decwin,wiki_mma_koloss,wiki_mma_subloss,wiki_mma_decloss,wiki_mma_draw,wiki_mma_nc,wiki_sherdog,wiki_title,wiki_height_imperial,wiki_height_cm,wiki_weight_lb,wiki_weight_kg,wiki_reach_cm,wiki_other_names,wiki_reach,wiki_mma_dqwin,wiki_mma_dqloss,wiki_residence,wiki_height_ft,wiki_height_in,height_final,weight_final,reach_final,stance_final,dob_final
Kyle Kurtz,--,170 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,170 lbs.,--,,--
Guram Kutateladze,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992"
Vadym Kutsyi,"6' 0""",170 lbs.,"71""",Orthodox,"Jul 18, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",170 lbs.,"71""",Orthodox,"Jul 18, 1991"
Lina Kvokov,"5' 9""",135 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",135 lbs.,--,Orthodox,--
Kaleo Kwan,"5' 7""",155 lbs.,--,,"Aug 01, 1970",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",155 lbs.,--,,"Aug 01, 1970"
Jarrod Kwitty,"5' 8""",185 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",185 lbs.,--,,--
Mike Kyle,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980"
Lisa Kyriacou,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 17, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 17, 1993"
Achmed Labasanov,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978"
Josh LaBerge,"5' 10""",145 lbs.,--,,--,False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",145 lbs.,--,,--
Jeremiah Labiano,"5' 10""",135 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",135 lbs.,--,,--
Daniel Lacerda,"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996"
Luan Lacerda,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993"
Kemran Lachinov,--,170 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,170 lbs.,--,,--
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",True,https://en.wikipedia.org/wiki/Aspen_Ladd,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Aspen Ladd,,,"Folsom, California, U.S.",,,,Featherweight (2021–present) Bantamweight (2016–present) Flyweight (2013–2015),,,,MMAGOLD (2012–present),,Purple belt in Brazilian Jiu-Jitsu,2015–present,,6,2,4,1,,4,,,141393,Aspen Ladd,,,,,,,,,,,,,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",True,https://en.wikipedia.org/wiki/Ryan_LaFlare,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Ryan LaFlare,,,"Lindenhurst, New York, U.S.",,,,Welterweight,74.0,,,Long Island MMA Bellmore Kickboxing,,Purple belt in Brazilian Jiu-Jitsu,2008- 2018,"Farmingdale, New York",4,3,7,2,,1,,,34409,Ryan LaFlare,,,,,188.0,,74 in,,,,,,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983"
Corinne Laframboise,"5' 4""",125 lbs.,"65""",Orthodox,"May 25, 1989",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 4""",125 lbs.,"65""",Orthodox,"May 25, 1989"
Ben Lagman,"6' 2""",185 lbs.,--,,"Sep 04, 1986",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 2""",185 lbs.,--,,"Sep 04, 1986"
Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",True,https://en.wikipedia.org/wiki/Noad_Lahat,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Noad Lahatנועד להט,"Noadya LahatMixed martial arts show results Date: February 6, 2016",,"Petach-Tikva, Israel",Israeli,,,Featherweight,,,,American Kickboxing Academy (2009–present) (AKA) Xtreme Couture,,Black belt in Brazilian Jiu-Jitsu 2nd degree black belt in Judo,2008–present,"San Jose, California",2,6,5,4,,1,,,35732,Noad Lahat,,,,,,,,,,,,,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984"
Tina Lahdemaki,"5' 2""",115 lbs.,--,Orthodox,"May 28, 1988",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 2""",115 lbs.,--,Orthodox,"May 28, 1988"
Yohan Lainesse,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992"
Tim Lajcik,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965"
Todd Lally,"5' 7""",145 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",145 lbs.,--,Orthodox,--
Sean Lally,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990"
Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",True,https://en.wikipedia.org/wiki/Ricardo_Lamas,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Ricardo Lamas,,,"Chicago, Illinois, U.S.",,,,Featherweight Lightweight,71.0,,,MMA Masters (2009–2020) UFC Gym Naperville (2018–present),,Black belt in Brazilian Jiu-Jitsu under Daniel Valverde,2008–2020,"Miami, Florida, U.S.",6,5,9,5,,3,,,32051,Ricardo Lamas,,,,,180.3,,71 in,,,,,,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975"
Jose Landi-Jons,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973"
Nate Landwehr,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988",True,https://en.wikipedia.org/wiki/Nate_Landwehr,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Nate Landwehr,Nathan Wade Landwehr,,"Clarksville, Tennessee, U.S.",,,,Featherweight,72.0,Orthodox,,SSF Submission Academy (2012–present) Wildside Fitness MMA Masters (2021–present),,,2012–present,"Clarksville, Tennessee, U.S.",9,2,7,5,1,2,,,101493,Nate Landwehr,,,,,182.9,The Train,72 in,,,,,,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988"
Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",True,https://en.wikipedia.org/wiki/Austen_Lane,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Austen Lane,,,,,6 ft 6 in,245 lb,Heavyweight,,,,"Bulldog Boxing, 10th Planet Jacksonville",,Purple belt in Brazilian Jiu-Jitsu,2017–present,"Jacksonville, Florida, United States",11,1,1,6,1,,,1,249439,Austen Lane,"6'6""",198.1,245.0,111.1,,,,,,,,,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
Aaron Lanfranco,--,155 lbs.,--,,"Aug 26, 1986",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,155 lbs.,--,,"Aug 26, 1986"
Jeremy Lang,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975"
Lionel Lanham,--,205 lbs.,--,,"Aug 31, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,205 lbs.,--,,"Aug 31, 1980"
Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",True,https://en.wikipedia.org/wiki/Lina_Länsberg,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Lina Länsberg,Lina Länsberg,,"Karlstad, Sweden",Swedish,UFC profile - Lina Lansberg; Retrieved 10 February 2016.,,Bantamweight Featherweight,65.0,,"Muay Thai, Kickboxing",Dirty South MMA Redline Training Center,,,2005–2013 (Muay Thai) 2012–2023 (MMA),,4,,6,3,1,4,,,122387,Lina Länsberg,,,,,165.1,Elbow Queen,65 in,,,,,,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Taylor Lapilus,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",True,https://en.wikipedia.org/wiki/Taylor_Lapilus,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Taylor Lapilus,,,"Villepinte, France",,,,Featherweight Bantamweight,,,,MMA FactorySBG Ireland,,,2012–present,"Paris, France",4,6,13,,,4,,,97337,Taylor Lapilus,,,,,,Double Impact,,,,,,,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992"
Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",True,https://en.wikipedia.org/wiki/Chad_Laprise,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Chad Laprise,,,"Chatham-Kent, Ontario, Canada",,,,LightweightWelterweight,71.0,,,Adrenaline Training Center Tristar Gym,,Purple belt in Brazilian Jiu-Jitsu under Firas Zahabi,2010-2018,"London, Ontario, Canada",7,1,5,3,,1,,,69681,Chad Laprise,,,,,180.3,The Disciple,71 in,,,,,,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
Anthony Lapsley,"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980",True,https://en.wikipedia.org/wiki/Anthony_Lapsley,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Anthony Lapsley,,,"Boston, Massachusetts, United States",,,,WelterweightMiddleweight,,,Folkstyle Wrestling,Team Deadly Jiu-Jitsu,,,2006–present,"Fort Wayne, Indiana, United States",3,16,4,1,5,2,,2,18590,Anthony Lapsley,,,,,,The Recipe,,,,,,,"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980"
TJ Laramie,"5' 6""",145 lbs.,"66""",Orthodox,"Oct 15, 1997",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",145 lbs.,"66""",Orthodox,"Oct 15, 1997"
Icho Larenas,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980"
Lorenz Larkin,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",True,https://en.wikipedia.org/wiki/Lorenz_Larkin,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Lorenz Larkin,,,"Riverside, California, United States",,,,"Heavyweight (2009–2010)Light Heavyweight (2010–2012)Middleweight (2012–2015, 2021–2022)Welterweight (2015–present)",2.0,,"Kickboxing, Kung Fu, BJJ",Millennia MMA Gym,,Purple belt in Brazilian Jiu-Jitsu,2009–present,"Riverside, California, United States",15,,12,2,,6,,2,51345,Lorenz Larkin,,,,,5.1,The Monsoon,72+1/2 in,,,,,,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Jeremy Larsen,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984",True,https://en.wikipedia.org/wiki/Jeremy_Larsen,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Jeremy Larsen,,,"Tucson, Arizona, United States",American,,,Featherweight (145 lb) Lightweight (155 lb),,,,Arizona Combat Sports,,,"2006–2007, 2009–present","Phoenix, Arizona, United States",2,3,3,3,1,1,,1,19863,Jeremy Larsen,,,,,,,,,,,,,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984"
Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977"
Ryan Larson,--,170 lbs.,--,,"Dec 30, 1980",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,170 lbs.,--,,"Dec 30, 1980"
Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976"
Ilir Latifi,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",True,https://en.wikipedia.org/wiki/Ilir_Latifi,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Ilir Latifi,,,"Malmö, Sweden",,5 ft 11 in,250 lb,"Heavyweight (2008, 2020–present)Light Heavyweight (2009–2019)",,,Submission Wrestling,Allstars Training Center Pancrase Gym Sweden American Top Team Malmö Tigers (Wrestling),Selman Berisha,,2008–present,"Stockholm, Sweden",6,4,6,4,,5,,1,40207,Ilir Latifi,"5'11""",180.3,250.0,113.4,,The Sledgehammer,,,,,,,"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982"
Sione Latu,"6' 0""",215 lbs.,--,,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",215 lbs.,--,,--
Phillip Latu,"6' 3""",205 lbs.,"76""",Orthodox,"Feb 17, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",205 lbs.,"76""",Orthodox,"Feb 17, 1991"
Jenel Lausa,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988"
Joe Lauzon,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984"
Dan Lauzon,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988"
Sandra Lavado,"5' 7""",115 lbs.,"66""",Orthodox,"May 03, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",115 lbs.,"66""",Orthodox,"May 03, 1994"
Chatt Lavender,"5' 8""",170 lbs.,--,,"May 24, 1976",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",170 lbs.,--,,"May 24, 1976"
Cody Law,--,145 lbs.,--,,"Mar 24, 1995",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,145 lbs.,--,,"Mar 24, 1995"
Muhammed Lawal,"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981"
Robbie Lawler,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",True,https://en.wikipedia.org/wiki/Robbie_Lawler,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Robbie Lawler,Robert Glenn Lawler,,"San Diego, California, U.S.",American,5 foot 11 in,170 lb,"Welterweight (2001–2004, 2013–2023) Middleweight (2004–2012, 2021)",2.0,Southpaw,,Kill Cliff FC (2017–2023) American Top Team (2013–2016) Miletich Fighting Systems (2000–2013),,Brown belt in Brazilian Jiu-Jitsu,2001–2023,"Coconut Creek, Florida, U.S.",22,1,7,4,5,7,,1,2245,Robbie Lawler,,,170.0,77.1,5.1,Ruthless,74+1/2 in,,,,,,"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982"
Tom Lawlor,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",True,https://en.wikipedia.org/wiki/Tom_Lawlor,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Tom Lawlor,Thomas Joseph Lawlor,,"Fall River, Massachusetts, U.S.",,,,Middleweight Light heavyweight,75.0,Southpaw,,Syndicate MMA,,Black belt in Brazilian Jiu-Jitsu under Tim Burrill,"2003 (amateur), 2007–2021","Las Vegas, Nevada",4,4,3,,3,4,,1,21940,Tom Lawlor,,,,,190.5,Filthy,75 in,,1,,,,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983"
Justin Lawrence,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990",True,https://en.wikipedia.org/wiki/Justin_Lawrence_(fighter),"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Justin Lawrence,Justin Ray Lawrence,,"Pacific, Missouri, United States",,5 ft 8 in,145 lb,LightweightFeatherweight,67.0,Orthodox,Kickboxing,Blackhouse MMA 21st Century Self DefenseAlliance MMA,,Black belt in Kempo KarateJustin Lawrence - Official UFC® Fighter Profile,2010–2018,"Los Angeles, California, United States Pacific, Missouri, United States",5,1,5,1,1,3,,,73756,Justin Lawrence (fighter),"5'8""",172.7,145.0,65.8,170.2,The American KiddThe Hammer (formerly),67 in,,,,,,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990"
Lance Lawrence,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993"
Ronnie Lawrence,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992"
Eric Lawson,"6' 0""",185 lbs.,--,Orthodox,--,False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",185 lbs.,--,Orthodox,--
Jimmy Lawson,"6' 0""",265 lbs.,"77""",Orthodox,"Nov 13, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",265 lbs.,"77""",Orthodox,"Nov 13, 1991"
Valmir Lazaro,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985"
Zviad Lazishvili,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991"
Mounir Lazzez,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987",True,https://en.wikipedia.org/wiki/Mounir_Lazzez,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Mounir Lazzez,,,"Sfax, Tunisia",Tunisian,,,Welterweight,76.0,,,Team Nogueira Dubai,,,2012–2023,"Sfax, Tunisia",8,,3,1,1,1,,,104851,Mounir Lazzez,,,,,193.0,The Sniper,76.0 in,,,,,,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987"
Cung Le,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972"
Thanh Le,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985"
Quang Le,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991"
Carlos Leal,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,"74""",Orthodox,"May 04, 1994"
Jordan Leavitt,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995",True,https://en.wikipedia.org/wiki/Jordan_Leavitt,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Jordan Leavitt,,,"Las Vegas, Nevada, United States",,5 ft 9 in,,Lightweight,71.0,Southpaw,,Syndicate MMA,,Purple belt in Brazilian Jiu-Jitsu,2017–present,"Las Vegas, Nevada",2,7,4,,2,1,,,259871,Jordan Leavitt,"5'9""",175.3,,,180.3,The Monkey King,71 in,,,,,,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995"
Jerome LeBanner,"6' 3""",265 lbs.,--,Southpaw,"Dec 26, 1972",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 3""",265 lbs.,--,Southpaw,"Dec 26, 1972"
Chris Leben,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980"
Jean-Paul Lebosnoyani,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",170 lbs.,"72""",Switch,"Jan 27, 1999"
Mickael Lebout,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987",True,https://en.wikipedia.org/wiki/Mickaël_Lebout,"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Mickaël Lebout,,,"Paris, France",,,,WelterweightLightweight,73.0,,,MMA Factory Team Obyfight,,,2011–present,"Paris, France",2,8,14,3,,9,2,1,81143,Mickaël Lebout,,,,,185.4,Ragnar,73 in,,,,,,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987"
Stephen Ledbetter,"5' 9""",145 lbs.,--,Orthodox,"Jun 30, 1982",False,,no_search_hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 9""",145 lbs.,--,Orthodox,"Jun 30, 1982"
Justin Ledet,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988"
James Lee,"5' 11""",205 lbs.,--,Southpaw,"Sep 22, 1973",False,,"{""has_category"": true, ""has_infobox_ufc"": false, ""body_mentions_ufc"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5' 11""",205 lbs.,--,Southpaw,"Sep 22, 1973"
David Lee,"5' 10""",155 lbs.,--,Orthodox,--,True,https://en.wikipedia.org/wiki/Vaughan_Lee_(fighter),"{""has_category"": true, ""has_infobox_ufc"": true, ""body_mentions_ufc"": true}",Vaughan Lee Harvey,,,"Birmingham, England",English,,,Bantamweight Flyweight,66.0,Southpaw,,Phuket Top Team Thailand,,,2003–present (MMA),"Birmingham, England",4,7,3,4,6,4,1,,6946,Vaughan Lee (fighter),,,,,167.6,,66 in,,,,,,"5' 10""",155 lbs.,--,Orthodox,--
