name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Ikram,http://ufcstats.com/fighter-details/b07aed698fba8624,"76.0""",17,2,0,6.86,64.0,5.47,41.0,3.2,60.0,100.0,0.5,
Leon,http://ufcstats.com/fighter-details/6db394bf6c3b017c,"74.0""",10,2,0,6.32,50.0,10.11,38.0,0.0,0.0,0.0,0.0,
John,http://ufcstats.com/fighter-details/6ebe96a116e79e52,"75.0""",13,7,0,3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,
George,http://ufcstats.com/fighter-details/1e13936d708bcff7,--,13,19,2,0.8,38.0,3.1,43.0,0.0,0.0,50.0,0.0,
Arnold,http://ufcstats.com/fighter-details/040a74bb0a465c54,"70.0""",20,4,0,3.47,42.0,3.04,60.0,0.86,47.0,71.0,0.3,
Brendan,http://ufcstats.com/fighter-details/2f181c0467965b98,"75.0""",26,7,0,3.59,53.0,3.62,47.0,1.56,42.0,56.0,1.1,
Daniel,http://ufcstats.com/fighter-details/adf9a901308fb8e3,"75.0""",5,0,0,7.6,51.0,5.87,53.0,2.0,66.0,100.0,0.0,
Ben,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,"76.0""",18,8,0,1.28,49.0,1.9,59.0,0.62,50.0,26.0,0.0,
Asu,http://ufcstats.com/fighter-details/8d3273573b85be09,"65.0""",23,3,0,2.31,50.0,1.99,53.0,4.46,42.0,44.0,1.5,
Bekzat,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,"68.0""",12,3,0,1.61,34.0,3.73,36.0,0.0,0.0,41.0,0.0,
John Dave,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,"67.0""",6,1,0,1.92,41.0,5.75,27.0,0.0,0.0,0.0,0.0,
Ricardo,http://ufcstats.com/fighter-details/91186547a7f3f758,"74.0""",13,5,0,2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,
Magno,http://ufcstats.com/fighter-details/d615d6a10a4704cd,--,10,3,0,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,
Thomas,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,"70.0""",22,5,0,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,
Ericka,http://ufcstats.com/fighter-details/67a992d4cff22466,--,7,3,0,1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,
Estefani,http://ufcstats.com/fighter-details/f16ddfa31236efed,--,7,3,0,3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0,
Jailton,http://ufcstats.com/fighter-details/41e83a89929d1327,"79.0""",22,5,0,2.23,62.0,1.3,43.0,5.64,55.0,60.0,1.7,
Lucas,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,"71.0""",15,5,0,4.94,39.0,5.36,44.0,0.0,0.0,53.0,0.0,
Cesar,http://ufcstats.com/fighter-details/64d47ef881a437a4,"74.0""",7,2,0,3.46,58.0,2.03,46.0,0.0,0.0,52.0,0.2,
Mauricio,http://ufcstats.com/fighter-details/c6bf75775b278ed8,--,13,7,0,5.74,34.0,1.91,67.0,0.0,0.0,0.0,0.0,
Sarah,http://ufcstats.com/fighter-details/49b130de1da2e1bf,"63.0""",9,6,0,2.36,44.0,6.06,38.0,1.61,26.0,20.0,0.4,
Ali,http://ufcstats.com/fighter-details/e87a13e02c01331d,"68.0""",8,5,0,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,
Rico,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,--,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Victor,http://ufcstats.com/fighter-details/dc7927cd622676a7,"70.0""",12,5,0,4.58,53.0,3.82,53.0,2.88,38.0,63.0,0.0,
Mike,http://ufcstats.com/fighter-details/c11036da9162cb5f,--,1,4,0,1.56,20.0,2.08,75.0,0.0,0.0,0.0,0.0,
Patricia,http://ufcstats.com/fighter-details/430c533614d45813,"64.0""",9,3,0,5.83,31.0,9.25,44.0,0.0,0.0,0.0,0.0,
Sean,http://ufcstats.com/fighter-details/e741536153227386,--,4,3,0,0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0,
Eddie,http://ufcstats.com/fighter-details/33a331684283900f,"69.0""",29,6,0,4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,
Jaime,http://ufcstats.com/fighter-details/4438482bd1d5a029,"69.0""",6,1,0,2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0,
Joel,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,"77.0""",23,3,0,4.78,55.0,3.07,54.0,0.19,33.0,47.0,1.1,
Thiago,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,"70.0""",23,15,0,3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3,
